iter	RMSE
0	0.7286901296
1	0.7252325689
2	0.722546076
3	0.7204714512
4	0.7188782879
5	0.7175383306
6	0.7161705949
7	0.7151978433
8	0.7143287266
9	0.7135520861
10	0.7128942268
11	0.7119005385
12	0.7112703618
13	0.7106160655
14	0.7099487897
15	0.7092553454
16	0.7086341935
17	0.7080044732
18	0.7074694034
19	0.7070236895
20	0.7064871258
21	0.7060058169
22	0.7056184433
23	0.7051856592
24	0.7048215385
25	0.704395552
26	0.7039305736
27	0.7035780446
28	0.7032100003
29	0.7028461549
30	0.7024461456
31	0.702017883
32	0.7017679003
33	0.7014703629
34	0.7011255111
35	0.7008648509
36	0.7004521267
37	0.7001791683
38	0.6999249468
39	0.699662093
40	0.6994148437
41	0.6989945209
42	0.6984929683
43	0.6982390453
44	0.6979774375
45	0.6976940359
46	0.6974345088
47	0.6972231744
48	0.6968216847
49	0.6964880468
50	0.696154918
51	0.6957879083
52	0.6955511842
53	0.6952447671
54	0.6949648138
55	0.6946779594
56	0.6943545749
57	0.694186142
58	0.6938829757
59	0.69355421
60	0.6932744288
61	0.6931092204
62	0.6929008562
63	0.6926548242
64	0.6923112597
65	0.6918878005
66	0.6917029025
67	0.691468244
68	0.691200895
69	0.6909919176
70	0.6906981484
71	0.6904883076
72	0.690182168
73	0.6898972303
74	0.6895769538
75	0.6893166392
76	0.6889718937
77	0.6886458291
78	0.6884445774
79	0.6881791275
80	0.6879376747
81	0.6876107969
82	0.6873530889
83	0.6870731041
84	0.6868798231
85	0.6866467597
86	0.6863529452
87	0.6861071097
88	0.6857606094
89	0.6854317722
90	0.6850927499
91	0.6848681013
92	0.6846066724
93	0.684377628
94	0.6840595082
95	0.6837926183
96	0.6834903638
97	0.6832500414
98	0.6830160926
99	0.6827194346
