iter	Passed	Remaining
0	20	2078
1	41	2044
2	62	2020
3	82	1973
4	101	1932
5	123	1929
6	144	1913
7	163	1876
8	181	1838
9	201	1816
10	221	1791
11	240	1762
12	259	1739
13	279	1717
14	298	1693
15	318	1671
16	338	1651
17	358	1634
18	378	1612
19	397	1588
20	417	1570
21	437	1549
22	458	1535
23	478	1513
24	496	1490
25	517	1472
26	537	1452
27	556	1432
28	577	1412
29	596	1392
30	616	1372
31	635	1351
32	657	1334
33	676	1313
34	695	1291
35	715	1271
36	734	1250
37	753	1228
38	772	1208
39	792	1188
40	811	1167
41	830	1147
42	852	1130
43	872	1110
44	893	1091
45	912	1071
46	931	1050
47	950	1029
48	969	1009
49	990	990
50	1009	970
51	1029	950
52	1048	929
53	1069	910
54	1088	890
55	1108	871
56	1129	852
57	1149	832
58	1168	811
59	1187	791
60	1205	770
61	1225	751
62	1245	731
63	1266	712
64	1288	693
65	1312	676
66	1332	656
67	1350	635
68	1369	615
69	1390	595
70	1409	575
71	1428	555
72	1448	535
73	1468	515
74	1487	495
75	1506	475
76	1525	455
77	1545	435
78	1565	416
79	1584	396
80	1604	376
81	1624	356
82	1644	336
83	1664	317
84	1684	297
85	1703	277
86	1722	257
87	1742	237
88	1760	217
89	1779	197
90	1799	177
91	1818	158
92	1837	138
93	1855	118
94	1876	98
95	1895	78
96	1916	59
97	1936	39
98	1958	19
99	1978	0
